index_woodruff,index_scriptures,cosine_score,verse_title,volume_title,internal_id,parent_id,order,website_url,match_count,text_woodruff,text_scriptures,dates
38978,68294,0.70135,Jacob 5:41,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,68333,0.70135,Jacob 5:49,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,68412,0.70135,Jacob 5:70,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,91023,0.78714,Doctrine and Covenants 85:7,Doctrine and Covenants,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in","And it shall come to pass that I, the Lord",
38980,36115,0.76345,Isaiah 11:11,Old Testament,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"the second time to recover the remnant of his people,","to recover the remnant of his people, which shall be",
38980,66843,0.76345,2 Nephi 21:11,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"the second time to recover the remnant of his people,",to recover the remnant of his people which shall be,
38980,68467,0.76658,Jacob 6:2,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"the second time to recover the remnant of his people,","the second time to recover his people, is the day,",
38985,38793,0.79633,Jeremiah 4:7,Old Testament,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,time the destroyer of the gentiles was on his way,destroyer of the Gentiles is on his way; he is,
39011,36574,0.72917,Isaiah 24:5,Old Testament,1282,667.0,132,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/409bd661-d727-4c0c-991a-c6544b0cf419,1,"have transgressed the laws, changed the ordinances and broken the","they have transgressed the laws, changed the ordinance, broken the everlasting covenant.",
39017,62878,0.78407,Revelation 18:7,New Testament,1282,667.0,132,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/409bd661-d727-4c0c-991a-c6544b0cf419,2,a queen am no widow and shall see no sorrow The John (NT) says. Therefore shall her plagues come in,"her heart, I sit a queen, and am no widow, and shall see no sorrow. Therefore shall her plagues come in one day, death, and",
39022,53816,0.76702,Luke 21:25,New Testament,1282,667.0,132,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/409bd661-d727-4c0c-991a-c6544b0cf419,1,"in the sun, moon moon stars, heavens and earth of","the moon, and in the stars; and upon the earth",
39025,80964,0.72123,3 Nephi 1:25,Book of Mormon,1282,667.0,132,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/409bd661-d727-4c0c-991a-c6544b0cf419,1,not pass away until all should be fulfilled. Though Heaven,should not pass away till it should all be fulfilled;,
