title,price,location,mileage
2006 Toyota prius Velours,"$5,500","Daly City, CA",191K miles
1998 Honda civic,"$3,800","Redwood City, CA",161K miles
2012 Mercedes-Benz e-class E 350 BlueTEC Sedan 4D,"$10,500","San Francisco, CA",137K miles
2015 Ford fusion energi Plug-In Hybrid Titanium Sedan 4D,"$10,500","Foster City, CA",129K miles
2003 Toyota 4runner Limited Sport Utility 4D,"$9,500","San Lorenzo, CA",175K miles
2004 Ford focus SE Sedan 4D,"$1,900","Milpitas, CA",222K miles
2014 Chevrolet malibu LS Sedan 4D,"$4,250","Sunnyvale, CA",151K miles
2016 Hyundai sonata SE Sedan 4D,"$9,200","San Francisco, CA",40K miles
2008 Toyota prius Standard Hatchback 4D,"$5,000","Daly City, CA",151K miles
2012 Ford focus Electric Hatchback 4D,$45,"Sunnyvale, CA",10K miles
2014 Ford fusion SE Hybrid Sedan 4D,"$8,300","Saratoga, CA",91K miles
2010 Scion xd Hatchback 4D,"$5,500","Fremont, CA",135K miles
2002 Saab,"$3,200","San Bruno, CA",149K miles
2020 Jeep compass limited - 4000 initial payment,"$4,000","Daly City, CA",
2005 Toyota solara SLE Convertible 2D,"$5,500","Fairfield, CA",75K miles
2008 Chevrolet silverado 1500 crew cab LT Pickup 4D 5 3/4 ft,"$6,000","San Leandro, CA",70K miles
2014 Lincoln mkz Sedan 4D,"$7,500","San Mateo, CA",117K miles
2005 Volkswagen jetta GLS TDI Wagon 4D,"$4,000","San Francisco, CA",196K miles
2013 Toyota prius v Five Wagon 4D,"$8,900","El Sobrante, CA",144K miles
2018 Hyundai elantra SE Sedan 4D,"$12,990","Livermore, CA",55K miles
2007 Honda cr-v LX Sport Utility 4D,"$6,000","Oakland, CA",189K miles
2007 Mercedes-Benz cls-class CLS 550 Coupe 4D,$1,"Pleasant Hill, CA",91K miles
2010 Nissan cube S Wagon 4D,"$4,500","Oakland, CA",113K miles
2007 Subaru impreza 2.5i Sedan 4D,"$4,000","Fremont, CA",170K miles
2003 Infiniti g35 6MT,"$8,500","Vallejo, CA",93K miles
2006 Dodge magnum Sport Wagon 4D,"$2,500","San Leandro, CA",189K miles
2012 Nissan altima 2.5 Sedan 4D,"$5,800","Richmond, CA",15K miles
2009 Toyota prius Touring Hatchback 4D,"$4,500","San Jose, CA",150K miles
2011 Toyota camry LE Sedan 4D,"$10,100","Saratoga, CA",67K miles
2013 Toyota prius,"$9,500","Redwood City, CA",80K miles
2002 Mitsubishi lancer OZ Rally Sedan 4D,"$2,850","Walnut Creek, CA",160K miles
2015 Toyota prius c,"$9,000","South San Francisco, CA",185K miles
2020 Honda civic Sport Sedan 4D,"$24,500","San Francisco, CA",28K miles
2013 Lexus CT 200h Hatchback 4D,"$8,700","Santa Clara, CA",200K miles
2005 BMW 3 series 325i Wagon 4D,"$5,500","San Ramon, CA",172K miles
2013 Toyota prius c,"$6,560","San Mateo, CA",123K miles
2004 Nissan altima 2.5 S Sedan 4D,"$4,200","Fremont, CA",125K miles
2007 Volkswagen jetta GLI Sedan 4D,"$2,500","Alameda, CA",151K miles
2021 Toyota camry hybrid LE Sedan 4D,"$21,000","Concord, CA",52K miles
2005 Toyota prius Hatchback 4D,"$5,300","San Mateo, CA",165K miles
2016 MINI hardtop 4 door Cooper S Hatchback 4D,"$15,000","San Francisco, CA",46K miles
2014 Nissan altima 2.5 SL Sedan 4D,"$5,900","Emeryville, CA",135K miles
2007 Chevrolet equinox LS Sport Utility 4D,"$4,000","Richmond, CA",129K miles
2017 Ford focus SE Sedan 4D,"$6,800","Foster City, CA",75K miles
2012 Mercedes-Benz c-class C 250 Sport Sedan 4D,Free,"Alameda, CA",125K miles
1998 Volkswagen new beetle Hatchback 2D,Free,"San Mateo, CA",123K miles
2023 Ford mustang GT Coupe 2D,"$1,000","San Francisco, CA",300 miles
2013 Mazda mazda3 i Grand Touring Hatchback 4D,"$8,000","San Francisco, CA",112K miles
2015 Toyota rav4 XLE,"$15,000","San Mateo, CA",83K miles
2008 Dodge avenger SE Sedan 4D,"$2,900","Oakland, CA",107K miles
2004 Cadillac srx Sport Utility 4D,"$3,200","San Rafael, CA",154K miles
2003 Mercedes-Benz e-class E 500 Sedan 4D,"$4,000","Berkeley, CA",100K miles
2019 Chevrolet bolt ev LT Hatchback 4D,"$13,900","San Jose, CA",55K miles
2009 BMW 3 series 328i Sedan 4D,"$7,999","San Mateo, CA",106K miles
2006 BMW 6 series 650i Convertible 2D,"$6,000","San Leandro, CA",148K miles
